 data, value 
 2021/07/09 11:26, 0.0 
 2021/07/09 12:16, 40.5 
 2021/07/09 12:17, 40.29999924 
 2021/07/09 12:19, 40.5 
 2021/07/09 12:20, 40.40000153 
 2021/07/09 12:23, 38.79999924 
 2021/07/09 12:24, 39.40000153 
 2021/07/09 12:25, 39.20000076 
 2021/07/09 12:28, 39.09999847 
 2021/07/09 12:29, 39.20000076 
 2021/07/09 12:30, 39.29999924 
 2021/07/09 12:31, 39.09999847 
 2021/07/09 12:32, 39.0 
 2021/07/09 12:33, 39.09999847 
 2021/07/09 12:34, 39.20000076 
 2021/07/09 12:35, 39.09999847 
 2021/07/09 12:36, 39.0 
 2021/07/09 12:37, 39.20000076 
 2021/07/09 12:38, 39.09999847 
 2021/07/09 12:39, 38.90000153 
 2021/07/09 12:40, 39.0 
 2021/07/09 12:41, 39.09999847 
 2021/07/09 12:43, 38.90000153 
 2021/07/09 12:44, 39.0 
 2021/07/09 12:45, 39.20000076 
 2021/07/09 12:46, 39.0 
 2021/07/09 12:47, 39.09999847 
 2021/07/09 12:50, 39.0 
 2021/07/09 12:53, 39.09999847 
 2021/07/09 12:54, 39.20000076 
 2021/07/09 12:56, 39.09999847 
 2021/07/09 12:57, 39.0 
 2021/07/09 12:58, 39.09999847 
 2021/07/09 12:59, 39.0 
 2021/07/09 13:02, 38.79999924 
 2021/07/09 13:03, 38.70000076 
 2021/07/09 13:04, 38.79999924 
 2021/07/09 13:05, 39.0 
 2021/07/09 13:06, 38.79999924 
 2021/07/09 13:08, 38.90000153 
 2021/07/09 13:09, 39.0 
 2021/07/09 13:11, 39.09999847 
 2021/07/09 13:12, 38.70000076 
 2021/07/09 13:13, 39.0 
 2021/07/09 13:14, 38.79999924 
 2021/07/09 13:16, 38.90000153 
 2021/07/09 13:18, 38.70000076 
 2021/07/09 13:19, 38.90000153 
 2021/07/09 13:20, 38.79999924 
 2021/07/09 13:21, 38.90000153 
 2021/07/09 13:22, 39.0 
 2021/07/09 13:23, 38.90000153 
 2021/07/09 13:24, 39.0 
 2021/07/09 13:26, 38.90000153 
 2021/07/09 13:28, 38.70000076 
 2021/07/09 13:30, 38.90000153 
 2021/07/09 13:31, 38.79999924 
 2021/07/09 13:32, 38.70000076 
 2021/07/09 13:34, 38.79999924 
 2021/07/09 13:35, 38.90000153 
 2021/07/09 13:36, 38.79999924 
 2021/07/09 13:37, 38.90000153 
 2021/07/09 13:38, 38.70000076 
 2021/07/09 13:39, 39.0 
 2021/07/09 13:41, 38.70000076 
 2021/07/09 13:43, 39.0 
 2021/07/09 13:44, 38.90000153 
 2021/07/09 13:46, 39.0 
 2021/07/09 13:47, 38.70000076 
 2021/07/09 13:48, 38.79999924 
 2021/07/09 13:50, 38.90000153 
 2021/07/09 13:51, 38.70000076 
 2021/07/09 13:52, 38.79999924 
 2021/07/09 13:55, 39.0 
 2021/07/09 13:56, 38.79999924 
 2021/07/09 13:57, 38.70000076 
 2021/07/09 13:58, 38.90000153 
 2021/07/09 14:01, 38.79999924 
 2021/07/09 14:02, 38.70000076 
 2021/07/09 14:03, 38.79999924 
 2021/07/09 14:04, 39.0 
 2021/07/09 14:05, 38.90000153 
 2021/07/09 14:06, 38.70000076 
 2021/07/09 14:07, 38.79999924 
 2021/07/09 14:11, 38.70000076 
 2021/07/09 14:12, 38.90000153 
 2021/07/09 14:13, 38.79999924 
 2021/07/09 14:15, 39.0 
 2021/07/09 14:16, 38.70000076 
 2021/07/09 14:17, 38.79999924 
 2021/07/09 14:22, 38.70000076 
 2021/07/09 14:23, 38.79999924 
 2021/07/09 14:24, 38.59999847 
 2021/07/09 14:25, 38.79999924 
 2021/07/09 14:26, 38.90000153 
 2021/07/09 14:28, 38.79999924 
 2021/07/09 14:29, 39.0 
 2021/07/09 14:30, 38.90000153 
 2021/07/09 14:31, 38.79999924 
 2021/07/09 14:32, 38.90000153 
 2021/07/09 14:34, 38.79999924 
 2021/07/09 14:35, 38.70000076 
 2021/07/09 14:36, 38.79999924 
 2021/07/09 14:37, 38.59999847 
 2021/07/09 14:38, 38.79999924 
 2021/07/09 14:39, 38.5 
 2021/07/09 14:40, 38.70000076 
 2021/07/09 14:42, 38.79999924 
 2021/07/09 14:43, 38.70000076 
 2021/07/09 14:44, 38.59999847 
 2021/07/09 14:45, 38.70000076 
 2021/07/09 14:46, 38.79999924 
 2021/07/09 14:47, 38.70000076 
 2021/07/09 14:50, 38.79999924 
 2021/07/09 14:51, 38.70000076 
 2021/07/09 14:52, 38.59999847 
 2021/07/09 14:53, 38.90000153 
 2021/07/09 14:54, 38.79999924 
 2021/07/09 14:57, 38.70000076 
 2021/07/09 14:58, 38.79999924 
 2021/07/09 15:00, 38.90000153 
 2021/07/09 15:01, 40.59999847 
 2021/07/09 15:02, 39.79999924 
 2021/07/09 15:03, 40.09999847 
 2021/07/09 15:04, 39.79999924 
 2021/07/09 15:05, 39.90000153 
 2021/07/09 15:06, 40.0 
 2021/07/09 15:07, 39.79999924 
 2021/07/09 15:08, 39.90000153 
 2021/07/09 15:09, 39.79999924 
 2021/07/09 15:10, 39.90000153 
 2021/07/09 15:11, 39.59999847 
 2021/07/09 15:12, 39.79999924 
 2021/07/09 15:13, 40.0 
 2021/07/09 15:16, 39.90000153 
 2021/07/09 15:18, 39.79999924 
 2021/07/09 15:21, 39.90000153 
 2021/07/09 15:22, 39.79999924 
 2021/07/09 15:23, 39.70000076 
 2021/07/09 15:24, 39.79999924 
 2021/07/09 15:26, 39.70000076 
 2021/07/09 15:27, 39.79999924 
 2021/07/09 15:28, 39.90000153 
 2021/07/09 15:32, 39.79999924 
 2021/07/09 15:33, 39.90000153 
 2021/07/09 15:35, 39.79999924 
 2021/07/09 15:36, 39.70000076 
 2021/07/09 15:38, 39.90000153 
 2021/07/09 15:41, 39.79999924 
 2021/07/09 15:42, 39.90000153 
 2021/07/09 15:44, 39.79999924 
 2021/07/09 15:46, 39.70000076 
 2021/07/09 15:48, 39.90000153 
 2021/07/09 15:49, 40.0 
 2021/07/09 15:50, 39.90000153 
 2021/07/09 15:51, 39.79999924 
 2021/07/09 15:52, 39.90000153 
 2021/07/09 15:53, 39.70000076 
 2021/07/09 15:54, 40.0 
 2021/07/09 15:55, 39.90000153 
 2021/07/09 15:56, 40.0 
 2021/07/09 15:58, 40.09999847 
 2021/07/09 15:59, 39.90000153 
 2021/07/09 16:00, 40.0 
 2021/07/09 16:01, 39.90000153 
 2021/07/09 16:02, 40.0 
 2021/07/09 16:03, 40.09999847 
 2021/07/09 16:05, 40.0 
 2021/07/09 16:10, 39.90000153 
 2021/07/09 16:12, 40.20000076 
 2021/07/09 16:13, 39.90000153 
 2021/07/09 16:14, 40.0 
 2021/07/09 16:15, 39.90000153 
 2021/07/09 16:16, 40.0 
 2021/07/09 16:17, 39.79999924 
 2021/07/09 16:19, 40.0 
 2021/07/09 16:20, 39.79999924 
 2021/07/09 16:21, 40.0 
 2021/07/09 16:22, 39.79999924 
 2021/07/09 16:24, 40.0 
 2021/07/09 16:25, 39.90000153 
 2021/07/09 16:26, 39.79999924 
